Title,Genre,Original Network,Premiere,Seasons,Length,Netflix Exclusive Regions,Status
Arrested Development,Comedy,Fox,"May 26, 2013","2 seasons, 38 episodes",22–23 min.,"US, Canada, Latin America, Western Europe
","Ended
"
Star Wars: The Clone Wars,Animation,Cartoon Network,"March 7, 2014","1 season, 13 episodes",22 min.,"Worldwide except Germany
",Ended
The Killing,Crime drama,AMC,"August 1, 2014","1 season, 6 episodes",54–60 min.,"Selected territories
",Ended
Trailer Park Boys,Mockumentary,Showcase,"September 5, 2014","5 seasons, 50 episodes",22–32 min.,"Worldwide
","Ended
"
Longmire,Crime drama,A&E Network,"September 10, 2015","3 seasons, 30 episodes",55–71 min.,"US, Canada, Australia, New Zealand",Ended
Midnight Diner,"Drama
",MBS,"October 21, 2016","2 seasons, 20 episodes",23–26 min.,"Worldwide
","Pending
"
Black Mirror,Science fiction,Channel 4,"October 21, 2016","3 seasons, 15 episodes",52–89 min.,"Worldwide
","Ended
"
Lovesick,Comedy,Channel 4,"November 17, 2016","2 seasons, 16 episodes",25–28 min.,"Worldwide
","Ended
"
The Last Kingdom,Period drama,BBC Two,"May 5, 2017","3 seasons, 28 episodes",50–59 min.,Worldwide since season 3,"Pending
"
Real Rob,Comedy,"Independent
","September 29, 2017","1 season, 8 episodes",30–38 min.,"Worldwide
","Ended
"
Glitch,Paranormal-drama,ABC Australia,"November 28, 2017","2 seasons, 12 episodes",52–57 min.,"Worldwide except Australia
",Ended
The Staircase,Docu-series,Canal+,"June 8, 2018",3 episodes,46–53 min.,"Worldwide
","Miniseries
"
Paquita Salas,Mockumentary,Flooxer,"June 29, 2018","2 seasons, 11 episodes",23–38 min.,"Worldwide
","Pending
"
Comedians in Cars Getting Coffee,Comedy,Crackle,"July 6, 2018","2 seasons, 24 episodes",12–41 min.,Worldwide,"Pending
"
Inside the World's Toughest Prisons,Docu-series,Channel 5,"July 6, 2018","2 seasons, 8 episodes",47–54 min.,"Worldwide
","Ended
"
MeatEater,Docu-series,Sportsman Channel,"October 2, 2018","2 seasons, 24 episodes",22–30 min.,"Worldwide
","Pending
"
Little Things,Comedy,"Independent
","October 5, 2018","2 seasons, 16 episodes",22–38 min.,"Worldwide
","Pending
"
Hip-Hop Evolution,Docu-series,HBO Canada,"October 19, 2018","3 seasons, 12 episodes",36–52 min.,"Worldwide
","Pending
"
Lucifer,Fantasy,Fox,"May 8, 2019","1 season, 10 episodes",48–55 min.,Worldwide except Germany,"First part of season 5 due to premiere on August 21, 2020;"
Slasher,Horror,Super Channel,"May 23, 2019","1 season, 8 episodes",45–48 min.,"Selected territories
","Ended
"
Designated Survivor,Political thriller,ABC,"June 7, 2019","1 season, 10 episodes",47–53 min.,Worldwide,Ended
Armistead Maupin's Tales of the City,"Drama
",Channel 4,"June 7, 2019",10 episodes,46–60 min.,"Worldwide
","Miniseries
"
Rabbids Invasion,Animation,Nickelodeon,"July 1, 2019","1 season, 26 episodes",21 min.,"Selected territories
","Pending
"
Money Heist,Thriller,Antena 3,"July 19, 2019","2 parts, 16 episodes",41–60 min.,"Worldwide
","Pending
"
Top Boy,"Crime drama
",Channel 4,"September 13, 2019","1 series, 10 episodes",44–66 min.,"Worldwide
",Renewed
You,Thriller,Lifetime,"December 26, 2019","1 season, 10 episodes",44–50 min.,"Worldwide
",Renewed
Zumbo's Just Desserts,Baking,Seven Network,"January 10, 2020","1 season, 10 episodes",44–48 min.,"Worldwide
","Pending
"
Beasts of No Nation,War drama,Netflix,"October 16, 2015",,"2 hours, 16 min.",Worldwide,
The Ridiculous 6,Western,Netflix,"December 11, 2015",,"1 hour, 59 min.",Worldwide,
"Crouching Tiger, Hidden Dragon: Sword of Destiny",Action,Netflix,"February 26, 2016",,"1 hour, 43 min.",Worldwide,
Pee-wee's Big Holiday,Adventure,Netflix,"March 18, 2016",,"1 hour, 29 min.",Worldwide,
Special Correspondents,Satire,Netflix,"April 29, 2016",,"1 hour, 40 min.",Worldwide,
The Do-Over,Action comedy,Netflix,"May 27, 2016",,"1 hour, 48 min.",Worldwide,
The Fundamentals of Caring,Comedy-drama,Netflix,"June 24, 2016",,"1 hour, 37 min.",Worldwide,
Brahman Naman,Comedy,Netflix,"July 7, 2016",,"1 hour, 35 min.",Worldwide,
Rebirth,Thriller,Netflix,"July 15, 2016",,"1 hour, 40 min.",Worldwide,
Tallulah,Comedy-drama,Netflix,"July 29, 2016",,"1 hour, 51 min.",Worldwide,
XOXO,Drama,Netflix,"August 26, 2016",,"1 hour, 32 min.",Worldwide,
ARQ,Science fiction/Thriller,Netflix,"September 16, 2016",,"1 hour, 28 min.",Worldwide,
The Siege of Jadotville,War,Netflix,"October 7, 2016",,"1 hour, 48 min.",Worldwide,
Mascots,Mockumentary,Netflix,"October 13, 2016",,"1 hour, 35 min.",Worldwide,
I Am the Pretty Thing That Lives in the House,Horror,Netflix,"October 28, 2016",,"1 hour, 29 min.",Worldwide,
7 años,Drama,Netflix,"October 28, 2016",,"1 hour, 16 min.",Worldwide,
True Memoirs of an International Assassin,Action comedy,Netflix,"November 11, 2016",,"1 hour, 38 min.",Worldwide,
Mercy,Thriller,Netflix,"November 22, 2016",,"1 hour, 30 min.",Worldwide,
Spectral,Science fiction/Action,Netflix,"December 9, 2016",,"1 hour, 48 min.",Worldwide,
Barry,Biopic,Netflix,"December 16, 2016",,"1 hour, 44 min.",Worldwide,
Coin Heist,Heist film,Netflix,"January 6, 2017",,"1 hour, 37 min.",Worldwide,
Clinical,Thriller,Netflix,"January 13, 2017",,"1 hour, 44 min.",Worldwide,
Take the 10,Comedy,Netflix,"January 20, 2017",,"1 hour, 20 min.",Worldwide,
iBoy,Science fiction/Thriller,Netflix,"January 27, 2017",,"1 hour, 30 min.",Worldwide,
Imperial Dreams,Drama,Netflix,"February 3, 2017",,"1 hour, 27 min.",Worldwide,
Girlfriend's Day,Comedy,Netflix,"February 14, 2017",,"1 hour, 10 min.",Worldwide,
I Don't Feel at Home in This World Anymore,Drama,Netflix,"February 24, 2017",,"1 hour, 36 min.",Worldwide,
Burning Sands,Drama,Netflix,"March 10, 2017",,"1 hour, 42 min.",Worldwide,
Deidra & Laney Rob a Train,Drama,Netflix,"March 17, 2017",,"1 hour, 34 min.",Worldwide,
The Most Hated Woman in America,Biopic,Netflix,"March 24, 2017",,"1 hour, 32 min.",Worldwide,
The Discovery,Science fiction/Drama,Netflix,"March 31, 2017",,"1 hour, 42 min.",Worldwide,
Win It All,Comedy,Netflix,"April 7, 2017",,"1 hour, 28 min.",Worldwide,
Sandy Wexler,Comedy,Netflix,"April 14, 2017",,"2 hours, 11 min.",Worldwide,
Sand Castle,War film,Netflix,"April 21, 2017",,"1 hour, 53 min.",Worldwide,
Tramps,Romance,Netflix,"April 21, 2017",,"1 hour, 23 min.",Worldwide,
Small Crimes,Dark comedy,Netflix,"April 28, 2017",,"1 hour, 35 min.",Worldwide,
Handsome: A Netflix Mystery Movie,Comedy,Netflix,"May 5, 2017",,"1 hour, 21 min.",Worldwide,
Blame!,Anime/Science fiction,Netflix,"May 20, 2017",,"1 hour, 46 min.",Worldwide,
War Machine,War-Comedy,Netflix,"May 26, 2017",,"2 hours, 2 min.",Worldwide,
Shimmer Lake,Crime thriller,Netflix,"June 9, 2017",,"1 hour, 26 min.",Worldwide,
Okja,Action-adventure,Netflix,"June 28, 2017",,"2 hours, 1 min.",Worldwide,
To the Bone,Drama,Netflix,"July 14, 2017",,"1 hour, 47 min.",Worldwide,
The Incredible Jessica James,Comedy,Netflix,"July 28, 2017",,"1 hour, 23 min.",Worldwide,
Naked,Comedy,Netflix,"August 11, 2017",,"1 hour, 36 min.",Worldwide,
Death Note,Horror thriller,Netflix,"August 25, 2017",,"1 hour, 40 min.",Worldwide,
Little Evil,Comedy horror,Netflix,"September 1, 2017",,"1 hour, 34 min.",Worldwide,
#REALITYHIGH,Comedy,Netflix,"September 8, 2017",,"1 hour, 39 min.",Worldwide,
First They Killed My Father,Drama,Netflix,"September 15, 2017",,"2 hours, 16 min.",Worldwide,
Gerald's Game,Horror thriller,Netflix,"September 29, 2017",,"1 hour, 43 min.",Worldwide,
Our Souls at Night,Romance,Netflix,"September 29, 2017",,"1 hour, 43 min.",Worldwide,
Bomb Scared,Black comedy,Netflix,"October 12, 2017",,"1 hour, 29 min.",Worldwide,
The Babysitter,Teen comedy horror,Netflix,"October 13, 2017",,"1 hour, 25 min.",Worldwide,
The Meyerowitz Stories (New and Selected),Comedy-drama,Netflix,"October 13, 2017",,"1 hour, 52 min.",Worldwide,
1922,Horror/crime drama,Netflix,"October 20, 2017",,"1 hour, 42 min.",Worldwide,
Wheelman,Action thriller,Netflix,"October 20, 2017",,"1 hour, 22 min.",Worldwide,
The Killer,Western,Netflix,"November 10, 2017",,"1 hour, 39 min.",Worldwide,
A Christmas Prince,Romantic comedy,Netflix,"November 17, 2017",,"1 hour, 32 min.",Worldwide,
El Camino Christmas,Dark comedy,Netflix,"December 8, 2017",,"1 hour, 29 min.",Worldwide,
Christmas Inheritance,Romantic drama,Netflix,"December 15, 2017",,"1 hour, 44 min.",Worldwide,
Bright,Urban fantasy,Netflix,"December 22, 2017",,"1 hour, 57 min.",Worldwide,
The Polka King,Comedy-drama,Netflix,"January 12, 2018",,"1 hour, 35 min.",Worldwide,
Step Sisters,Comedy,Netflix,"January 19, 2018",,"1 hour, 48 min.",Worldwide,
The Open House,Horror thriller,Netflix,"January 19, 2018",,"1 hour, 34 min.",Worldwide,
Blockbuster,Romantic comedy,Netflix,"January 24, 2018",,"1 hour, 25 min.",Worldwide,
A Futile and Stupid Gesture,Biographical/Comedy,Netflix,"January 26, 2018",,"1 hour, 41 min.",Worldwide,
The Cloverfield Paradox,Science fiction,Netflix,"February 4, 2018",,"1 hour, 42 min.",Worldwide,
When We First Met,Romantic comedy,Netflix,"February 9, 2018",,"1 hour, 37 min.",Worldwide,
Love per Square Foot,Romantic comedy,Netflix,"February 14, 2018",,"2 hours, 13 min.",Worldwide,
Irreplaceable You,Drama,Netflix,"February 16, 2018",,"1 hour, 36 min.",Worldwide,
Mute,Science fiction/Mystery,Netflix,"February 23, 2018",,"2 hours, 6 min.",Worldwide,
The Outsider,Crime drama,Netflix,"March 9, 2018",,2 hours,Worldwide,
Benji,Family film,Netflix,"March 16, 2018",,"1 hour, 27 min.",Worldwide,
"Game Over, Man!",Action/Comedy,Netflix,"March 23, 2018",,"1 hour, 41 min.",Worldwide,
Paradox,Musical/Western/Fantasy,Netflix,"March 23, 2018",,"1 hour, 13 min.",Worldwide,
Roxanne Roxanne,Biopic,Netflix,"March 23, 2018",,"1 hour, 38 min.",Worldwide,
Happy Anniversary,Romantic comedy,Netflix,"March 30, 2018",,"1 hour, 18 min.",Worldwide,
First Match,Sports-drama,Netflix,"March 30, 2018",,"1 hour, 42 min.",Worldwide,
6 Balloons,Drama,Netflix,"April 6, 2018",,"1 hour, 15 min.",Worldwide,
Amateur,Sports-drama,Netflix,"April 6, 2018",,"1 hour, 36 min.",Worldwide,
Come Sunday,Biopic,Netflix,"April 13, 2018",,"1 hour, 46 min.",Worldwide,
I Am Not an Easy Man,Romantic comedy,Netflix,"April 13, 2018",,"1 hour, 38 min.",Worldwide,
Dude,Teen comedy-drama,Netflix,"April 20, 2018",,"1 hour, 37 min.",Worldwide,
Candy Jar,Comedy,Netflix,"April 27, 2018",,"1 hour, 32 min.",Worldwide,
The Week Of,Comedy,Netflix,"April 27, 2018",,"1 hour, 56 min.",Worldwide,
Sometimes,Drama,Netflix,"May 1, 2018",,"1 hour, 41 min.",Worldwide,
Forgive Us Our Debts,Drama,Netflix,"May 4, 2018",,"1 hour, 44 min.",Worldwide,
The Kissing Booth,Romantic comedy,Netflix,"May 11, 2018",,"1 hour, 45 min.",Worldwide,
Cargo,Drama/Horror,Netflix,"May 18, 2018",,"1 hour, 44 min.",Worldwide,
Ibiza,Comedy,Netflix,"May 25, 2018",,"1 hour, 34 min.",Worldwide,
Alex Strangelove,Romantic comedy,Netflix,"June 8, 2018",,"1 hour, 39 min.",Worldwide,
Set It Up,Romantic comedy,Netflix,"June 15, 2018",,"1 hour, 45 min.",Worldwide,
Lust Stories,Drama,Netflix,"June 15, 2018",,2 hours,Worldwide,
"To Each, Her Own",Romantic comedy,Netflix,"June 24, 2018",,"1 hour, 35 min.",Worldwide,
Calibre,Thriller,Netflix,"June 29, 2018",,"1 hour, 41 min.",Worldwide,
TAU,Science fiction thriller,Netflix,"June 29, 2018",,"1 hour, 37 min.",Worldwide,
The Legacy of a Whitetail Deer Hunter,Adventure/Comedy,Netflix,"July 6, 2018",,"1 hour, 23 min.",Worldwide,
How It Ends,Action thriller,Netflix,"July 13, 2018",,"1 hour, 53 min.",Worldwide,
Father of the Year,Comedy,Netflix,"July 20, 2018",,"1 hour, 34 min.",Worldwide,
Extinction,Science fiction-thriller,Netflix,"July 27, 2018",,"1 hour, 35 min.",Worldwide,
Brij Mohan Amar Rahe,Comedy,Netflix,"August 3, 2018",,"1 hour, 40 min.",Worldwide,
Like Father,Comedy,Netflix,"August 3, 2018",,"1 hour, 43 min.",Worldwide,
The Package,Black comedy,Netflix,"August 10, 2018",,"1 hour, 34 min.",Worldwide,
To All the Boys I've Loved Before,Romantic comedy,Netflix,"August 17, 2018",,"1 hour, 39 min.",Worldwide,
The After Party,Comedy,Netflix,"August 24, 2018",,"1 hour, 29 min.",Worldwide,
Sierra Burgess Is a Loser,Romantic comedy-drama,Netflix,"September 7, 2018",,"1 hour, 45 min.",Worldwide,
The Most Assassinated Woman in the World,Thriller,Netflix,"September 7, 2018",,"1 hour, 42 min.",Worldwide,
Next Gen,Animation/Action/Science fiction,Netflix,"September 7, 2018",,"1 hour, 44 min.",Worldwide,
On My Skin,Crime drama,Netflix,"September 12, 2018",,"1 hour, 40 min.",Worldwide,
The Land of Steady Habits,Drama,Netflix,"September 14, 2018",,"1 hour, 38 min.",Worldwide,
The Angel,Spy thriller,Netflix,"September 14, 2018",,"1 hour, 54 min.",Worldwide,
Nappily Ever After,Comedy-drama,Netflix,"September 21, 2018",,"1 hour, 38 min.",Worldwide,
Hold the Dark,Thriller,Netflix,"September 28, 2018",,"2 hours, 5 min.",Worldwide,
Private Life,Drama,Netflix,"October 5, 2018",,"2 hours, 4 min.",Worldwide,
22-Jul,Drama,Netflix,"October 10, 2018",,"2 hours, 24 min.",Worldwide,
Apostle,Horror-thriller,Netflix,"October 12, 2018",,"2 hours, 9 min.",Worldwide,
The Night Comes for Us,Action-thriller,Netflix,"October 19, 2018",,"2 hours, 1 min.",Worldwide,
Been So Long,Musical,Netflix,"October 26, 2018",,"1 hour, 40 min.",Worldwide,
The Holiday Calendar,Romantic comedy,Netflix,"November 2, 2018",,"1 hour, 35 min.",Worldwide,
The Other Side of the Wind,Drama,Netflix,"November 2, 2018",,"2 hours, 2 min.",Worldwide,
Outlaw King,Historical-epic,Netflix,"November 9, 2018",,"2 hours, 1 min.",Worldwide,
The Princess Switch,Romantic comedy,Netflix,"November 16, 2018",,"1 hour, 41 min.",Worldwide,
Cam,Psychological horror,Netflix,"November 16, 2018",,"1 hour, 34 min.",Worldwide,
The Ballad of Buster Scruggs,Western,Netflix,"November 16, 2018",,"2 hours, 12 min.",Worldwide,
The Christmas Chronicles,Family film,Netflix,"November 22, 2018",,"1 hour, 44 min.",Worldwide,
A Christmas Prince: The Royal Wedding,Romantic comedy,Netflix,"November 30, 2018",,"1 hour, 32 min.",Worldwide,
Rajma Chawal,Comedy-drama,Netflix,"November 30, 2018",,"1 hour, 58 min.",Worldwide,
5 Star Christmas,Comedy,Netflix,"December 7, 2018",,"1 hour, 35 min.",Worldwide,
Mowgli: Legend of the Jungle,Adventure,Netflix,"December 7, 2018",,"1 hour, 44 min.",Worldwide,
Roma,Drama,Netflix,"December 14, 2018",,"2 hours, 15 min.",Worldwide,
Bird Box,Psychological thriller,Netflix,"December 21, 2018",,"2 hours, 4 min.",Worldwide,
Lionheart,Comedy,Netflix,"January 4, 2019",,"1 hour, 34 min.",Worldwide,
The Last Laugh,Comedy-drama,Netflix,"January 11, 2019",,"1 hour, 38 min.",Worldwide,
IO,Science fiction/drama,Netflix,"January 18, 2019",,"1 hour, 35 min.",Worldwide,
Soni,Crime drama,Netflix,"January 18, 2019",,"1 hour, 37 min.",Worldwide,
Polar,Action,Netflix,"January 25, 2019",,"1 hour, 58 min.",Worldwide,
Velvet Buzzsaw,Thriller,Netflix,"February 1, 2019",,"1 hour, 52 min.",Worldwide,
High Flying Bird,Sports-drama,Netflix,"February 8, 2019",,"1 hour, 30 min.",Worldwide,
Firebrand,Drama,Netflix,"February 22, 2019",,"1 hour, 52 min.",Worldwide,
Paris Is Us,Romance drama,Netflix,"February 22, 2019",,"1 hour, 23 min.",Worldwide,
Paddleton,Drama-Comedy,Netflix,"February 22, 2019",,"1 hour, 29 min.",Worldwide,
Walk. Ride. Rodeo.,Drama,Netflix,"March 8, 2019",,"1 hour, 39 min.",Worldwide,
Juanita,Drama,Netflix,"March 8, 2019",,"1 hour, 30 min.",Worldwide,
Triple Frontier,Action-thriller,Netflix,"March 13, 2019",,"2 hours, 5 min.",Worldwide,
The Dirt,Biopic,Netflix,"March 22, 2019",,"1 hour, 48 min.",Worldwide,
The Highwaymen,Crime drama,Netflix,"March 29, 2019",,"2 hours, 11 min.",Worldwide,
15-Aug,Comedy-drama,Netflix,"March 29, 2019",,"2 hours, 4 min.",Worldwide,
Unicorn Store,Comedy,Netflix,"April 5, 2019",,"1 hour, 32 min.",Worldwide,
Who Would You Take to a Deserted Island?,Drama,Netflix,"April 12, 2019",,"1 hour, 33 min.",Worldwide,
The Perfect Date,Romantic comedy,Netflix,"April 12, 2019",,"1 hour, 29 min.",Worldwide,
Someone Great,Romantic comedy,Netflix,"April 19, 2019",,"1 hour, 32 min.",Worldwide,
Music Teacher,Drama,Netflix,"April 19, 2019",,"1 hour, 41 min.",Worldwide,
Despite Everything,Comedy,Netflix,"May 3, 2019",,"1 hour, 18 min.",Worldwide,
The Last Summer,Romantic comedy,Netflix,"May 3, 2019",,"1 hour, 49 min.",Worldwide,
Wine Country,Comedy,Netflix,"May 10, 2019",,"1 hour, 43 min.",Worldwide,
Good Sam,Drama,Netflix,"May 16, 2019",,"1 hour, 29 min.",Worldwide,
See You Yesterday,Science fiction,Netflix,"May 17, 2019",,"1 hour, 27 min.",Worldwide,
Rim of the World,Science fiction adventure,Netflix,"May 24, 2019",,"1 hour, 38 min.",Worldwide,
The Perfection,Horror-thriller,Netflix,"May 24, 2019",,"1 hour, 30 min.",Worldwide,
Always Be My Maybe,Romantic comedy,Netflix,"May 31, 2019",,"1 hour, 42 min.",Worldwide,
Chopsticks,Comedy,Netflix,"May 31, 2019",,"1 hour, 40 min.",Worldwide,
Elisa & Marcela,Romance,Netflix,"June 7, 2019",,"1 hour, 58 min.",Worldwide,
Murder Mystery,Comedy mystery,Netflix,"June 14, 2019",,"1 hour, 37 min.",Worldwide,
Beats,Drama,Netflix,"June 19, 2019",,"1 hour, 50 min.",Worldwide,
Point Blank,Action,Netflix,"July 12, 2019",,"1 hour, 26 min.",Worldwide,
Secret Obsession,Thriller,Netflix,"July 18, 2019",,"1 hour, 37 min.",Worldwide,
The Red Sea Diving Resort,Spy thriller,Netflix,"July 31, 2019",,"2 hours, 10 min.",Worldwide,
Otherhood,Comedy,Netflix,"August 2, 2019",,"1 hour, 40 min.",Worldwide,
Sextuplets,Comedy,Netflix,"August 16, 2019",,"1 hour, 39 min.",Worldwide,
Falling Inn Love,Romantic comedy,Netflix,"August 29, 2019",,"1 hour, 37 min.",Worldwide,
Back to School,Comedy,Netflix,"August 30, 2019",,"1 hour, 23 min.",Worldwide,
Tall Girl,Comedy-drama,Netflix,"September 13, 2019",,"1 hour, 42 min.",Worldwide,
Between Two Ferns: The Movie,Comedy,Netflix,"September 20, 2019",,"1 hour, 22 min.",Worldwide,
In the Shadow of the Moon,Thriller,Netflix,"September 27, 2019",,"1 hour, 55 min.",Worldwide,
In the Tall Grass,Horror,Netflix,"October 4, 2019",,"1 hour, 41 min.",Worldwide,
El Camino: A Breaking Bad Movie,Crime drama,Netflix,"October 11, 2019",,"2 hours, 2 min.",Worldwide,
Fractured,Thriller,Netflix,"October 11, 2019",,"1 hour, 40 min.",Worldwide,
The Forest of Love,Drama,Netflix,"October 11, 2019",,"2 hours, 31 min.",Worldwide,
Street Flow,Drama,Netflix,"October 12, 2019",,"1 hour, 36 min.",Worldwide,
Eli,Horror,Netflix,"October 18, 2019",,"1 hour, 38 min.",Worldwide,
Seventeen,Coming-of-age comedy-drama,Netflix,"October 18, 2019",,"1 hour, 39 min.",Worldwide,
The Laundromat,Comedy-drama,Netflix,"October 18, 2019",,"1 hour, 38 min.",Worldwide,
Upstarts,Drama,Netflix,"October 18, 2019",,"1 hour, 52 min.",Worldwide,
Dolemite Is My Name,Biopic,Netflix,"October 25, 2019",,"1 hour, 58 min.",Worldwide,
Rattlesnake,Horror,Netflix,"October 25, 2019",,"1 hour, 25 min.",Worldwide,
The King,Historical drama,Netflix,"November 1, 2019",,"2 hours, 20 min.",Worldwide,
American Son,Drama,Netflix,"November 1, 2019",,"1 hour, 30 min.",Worldwide,
Drive,Action,Netflix,"November 1, 2019",,"2 hours, 27 min.",Worldwide,
The Man Without Gravity,Drama,Netflix,"November 1, 2019",,"1 hour, 47 min.",Worldwide,
Holiday in the Wild,Adventure-romance,Netflix,"November 1, 2019",,"1 hour, 25 min.",Worldwide,
Let It Snow,Romantic comedy,Netflix,"November 8, 2019",,"1 hour, 32 min.",Worldwide,
Earthquake Bird,Mystery,Netflix,"November 15, 2019",,"1 hour, 47 min.",Worldwide,
House Arrest,Comedy,Netflix,"November 15, 2019",,"1 hour, 44 min.",Worldwide,
Klaus,Animation/Christmas film/Comedy/Adventure,Netflix,"November 15, 2019",,"1 hour, 37 min.",Worldwide,
The Knight Before Christmas,Romantic comedy,Netflix,"November 21, 2019",,"1 hour, 32 min.",Worldwide,
The Irishman,Crime drama,Netflix,"November 27, 2019",,"3 hours, 29 min.",Worldwide,
Holiday Rush,Family film,Netflix,"November 28, 2019",,"1 hour, 34 min.",Worldwide,
Dead Kids,Thriller,Netflix,"December 1, 2019",,"1 hour, 34 min.",Worldwide,
A Christmas Prince: The Royal Baby,Romantic comedy,Netflix,"December 5, 2019",,"1 hour, 25 min.",Worldwide,
Marriage Story,Drama,Netflix,"December 6, 2019",,"2 hours, 16 min.",Worldwide,
6 Underground,Action,Netflix,"December 13, 2019",,"2 hours, 8 min.",Worldwide,
The Two Popes,Drama,Netflix,"December 20, 2019",,"2 hours, 5 min.",Worldwide,
Como Caído del Cielo,Musical comedy,Netflix,"December 24, 2019",,"1 hour, 57 min.",Worldwide,
The App,Science fiction/drama,Netflix,"December 26, 2019",,"1 hour, 19 min.",Worldwide,
Ghost Stories,Horror anthology,Netflix,"January 1, 2020",,"2 hours, 24 min.",Worldwide,
A Fall from Grace,Thriller,Netflix,"January 17, 2020",,2 hours,Worldwide,
Airplane Mode,Comedy,Netflix,"January 23, 2020",,"1 hour, 36 min.",Worldwide,
Horse Girl,Drama,Netflix,"February 7, 2020",,"1 hour, 44 min.",Worldwide,
To All the Boys: P.S. I Still Love You,Romantic comedy,Netflix,"February 12, 2020",,"1 hour, 42 min.",Worldwide,
Isi & Ossi,Romantic comedy,Netflix,"February 14, 2020",,"1 hour, 53 min.",Worldwide,
The Last Thing He Wanted,Political thriller,Netflix,"February 21, 2020",,"1 hour, 55 min.",Worldwide,
Yeh Ballet,Drama,Netflix,"February 21, 2020",,"1 hour, 57 min.",Worldwide,
All the Bright Places,Romance,Netflix,"February 28, 2020",,"1 hour, 48 min.",Worldwide,
Guilty,Thriller,Netflix,"March 6, 2020",,"1 hour, 59 min.",Worldwide,
Spenser Confidential,Action comedy,Netflix,"March 6, 2020",,"1 hour, 51 min.",Worldwide,
Lost Girls,Crime drama,Netflix,"March 13, 2020",,"1 hour, 35 min.",Worldwide,
Ultras,Sports film,Netflix,"March 20, 2020",,"1 hour, 48 min.",Worldwide,
The Occupant,Thriller,Netflix,"March 25, 2020",,"1 hour, 43 min.",Worldwide,
Maska,Romantic comedy,Netflix,"March 27, 2020",,"1 hour, 51 min.",Worldwide,
The Decline,Thriller,Netflix,"March 27, 2020",,"1 hour, 23 min.",Worldwide,
Uncorked,Drama,Netflix,"March 27, 2020",,"1 hour, 43 min.",Worldwide,
Coffee & Kareem,Action comedy,Netflix,"April 3, 2020",,"1 hour, 28 min.",Worldwide,
The Main Event,Comedy,Netflix,"April 10, 2020",,"1 hour, 41 min.",Worldwide,
Love Wedding Repeat,Romantic comedy,Netflix,"April 10, 2020",,"1 hour, 40 min.",Worldwide,
Tigertail,Drama,Netflix,"April 10, 2020",,"1 hour, 31 min.",Worldwide,
Earth and Blood,Action,Netflix,"April 17, 2020",,"1 hour, 20 min.",Worldwide,
Rising High,Satire,Netflix,"April 17, 2020",,"1 hour, 34 min.",Worldwide,
Sergio,Biopic,Netflix,"April 17, 2020",,"1 hour, 58 min.",Worldwide,
The Willoughbys,Animation/Comedy/Adventure,Netflix,"April 22, 2020",,"1 hour, 32 min.",Worldwide,
Time to Hunt,Thriller,Netflix,"April 23, 2020",,"2 hours, 14 min.",Worldwide,
Extraction,Action,Netflix,"April 24, 2020",,"1 hour, 57 min.",Worldwide,
Dangerous Lies,Drama,Netflix,"April 30, 2020",,"1 hour, 37 min.",Worldwide,
Rich in Love,Romantic comedy,Netflix,"April 30, 2020",,"1 hour, 45 min.",Worldwide,
All Day and a Night,Drama,Netflix,"May 1, 2020",,"2 hours, 1 min.",Worldwide,
Mrs. Serial Killer,Thriller,Netflix,"May 1, 2020",,"1 hour, 46 min.",Worldwide,
The Half of It,Romance,Netflix,"May 1, 2020",,"1 hour, 45 min.",Worldwide,
The Wrong Missy,Comedy,Netflix,"May 13, 2020",,"1 hour, 30 min.",Worldwide,
The Lovebirds,Romantic comedy,Netflix,"May 22, 2020",,"1 hour, 27 min.",Worldwide,
I'm No Longer Here,Drama,Netflix,"May 27, 2020",,"1 hour, 45 min.",Worldwide,
Intuition,Thriller,Netflix,"May 28, 2020",,"1 hour, 56 min.",Worldwide,
Choked: Paisa Bolta Hai,Drama,Netflix,"June 5, 2020",,"1 hour, 54 min.",Worldwide,
The Last Days of American Crime,Heist film/Thriller,Netflix,"June 5, 2020",,"2 hours, 29 min.",Worldwide,
Da 5 Bloods,War drama,Netflix,"June 12, 2020",,"2 hours, 35 min.",Worldwide,
A Whisker Away,Anime/Fantasy,Netflix,"June 18, 2020",,"1 hour, 44 min.",Worldwide,
Feel the Beat,Family/Comedy-drama,Netflix,"June 19, 2020",,"1 hour, 47 min.",Worldwide,
Lost Bullet,Thriller,Netflix,"June 19, 2020",,"1 hour, 32 min.",Worldwide,
One-Way to Tomorrow,Romance,Netflix,"June 19, 2020",,"1 hour, 30 min.",Worldwide,
Bulbbul,Horror,Netflix,"June 24, 2020",,"1 hour, 34 min.",Worldwide,
Nobody Knows I'm Here,Drama,Netflix,"June 24, 2020",,"1 hour, 31 min.",Worldwide,
Awaiting release,Awaiting release,Netflix,Awaiting release,,Awaiting release,Worldwide,
Eurovision Song Contest: The Story of Fire Saga,Comedy,Netflix,"June 26, 2020[1]",,"2 hours, 3 min.",Worldwide,
Under the Riccione Sun[2],Romantic teenage drama,Netflix,"July 1, 2020[3]",,"1 hour, 41 min.",Worldwide,
Desperados,Romantic comedy,Netflix,"July 3, 2020[4]",,"1 hour, 45 min.",Worldwide,
The Old Guard,Superhero/Action,Netflix,"July 10, 2020[5]",,"2 hours, 4 min.",Worldwide,
Fatal Affair[6],Drama,Netflix,"July 16, 2020",,TBA,Worldwide,
