,Title,Genre,Premiere,Seasons,Metascore,imdbRating,imdbVotes,Title_from_OMDB,imdbID
1120,The 3rd Eye 2,Horror,2019,,N/A,5.5,398,The 3rd Eye 2,tt8890582
1121,The Boy Who Harnessed the Wind,Drama,2019,,68,7.6,"25,306",The Boy Who Harnessed the Wind,tt7533152
1122,The Coldest Game,Spy thriller,2019,,N/A,6.1,"7,154",The Coldest Game,tt6445414
1123,The Endless Trench,Historical drama,2019,,N/A,7.2,"3,742",The Endless Trench,tt7937168
1124,The Influence,Horror,2019,,N/A,6.8,73,The Influence,tt1688225
1125,The Legacy of the Bones,Thriller,2019,,N/A,6.2,"5,797",The Legacy of the Bones,tt7304802
1126,The Little Switzerland,Comedy,2019,,N/A,4.8,978,The Little Switzerland,tt9100028
1127,The Platform,Thriller,2019,,73,7.0,"146,602",The Platform,tt8228288
1128,The Ruthless,Crime drama,2019,,N/A,6.1,"4,866",The Ruthless,tt9239888
1129,The Silence,Horror,2019,,25,5.3,"35,773",The Silence,tt7315484
1130,The Silence of the Marsh,Thriller,2019,,N/A,4.9,"2,929",The Silence of the Marsh,tt8743032
1131,The Silent War,Drama,2019,,N/A,6.2,"1,462",The Silent War,tt2078768
1132,The Son,Psychological thriller,2019,,86,7.6,"8,830",The Son,tt0291172
1133,The Wandering Earth,Drama,2019,,57,6.0,"25,651",The Wandering Earth,tt7605074
1134,The Wolf's Call,Drama,2019,,,,,,
1135,Till Death: Azalea's Wrath,Horror,2019,,N/A,N/A,N/A,Till Death: Azalea's Wrath,tt10883274
1136,Tune in for Love,Romantic drama,2019,,N/A,7.1,"1,801",Tune in for Love,tt10763618
1137,Twin Murders: The Silence of the White City,Thriller,2019,,N/A,5.2,"3,617",Twin Murders: The Silence of the White City,tt8393332
1138,Uncut Gems,Crime thriller,2019,,91,7.4,"204,269",Uncut Gems,tt5727208
1139,Wasp Network,Thriller,2019,,54,5.8,"6,973",Wasp Network,tt6760876
1140,Wounds,Horror,2019,,51,4.0,"14,575",Wounds,tt5913798
